ISIN;nom;ticker;ticker_boursorama
FR0000045072p;Credit Agricole;ACA;PACA
FR0000051732p;Atos;ATO;PATO
FR0000052292p;Hermes;RMS;PRMS
FR0000073272p;Safran;SAF;PSAF
FR0000120073p;Air Liquide;AI;PAI
FR0000120172p;Carrefour;CA;PCA
FR0000120271p;Total;FP;PFP
FR0000120321p;L'oreal;OR;POR
FR0000120404p;Accor Hotels;AC;PAC
FR0000120503p;Bouygues;EN;PEN
FR0000120578p;Sanofi;SAN;PSAN
FR0000120628p;Axa;CS;PCS
FR0000120644p;Danone;BN;PBN
FR0000120693p;Pernod Ricard;RI;PRI
FR0000121014p;Lvmh;MC;PMC
FR0000121220p;Sodexo;SW;PSW
FR0000121261p;Michelin;ML;PML
FR0000121329p;Thales;HO;PHO
FR0000121485p;Kering;KER;PKER
FR0000121501p;Peugeot;UG;PUG
FR0000121667p;EssilorLuxottica;EL;PEL
FR0000121972p;Schneider Electric;SU;PSU
FR0000124141p;Veolia Environ.;VIE;PVIE
FR0000125007p;Saint Gobain;SGO;PSGO
FR0000125338p;CapGemini;CAP;PCAP
FR0000125486p;Vinci;DG;PDG
FR0000127771p;Vivendi;VIV;PVIV
FR0000130577p;Publicis Groupe;PUB;PPUB
FR0000130650p;Dassault Systemes;DSY;PDSY
FR0000130809p;Societe Generale;GLE;PGLE
FR0000131104p;Bnp Paribas;BNP;PBNP
FR0000131906p;Renault;RNO;PRNO
FR0000133308p;Orange;ORA;PORA
FR0010208488p;Engie;ENGI;PENGI
FR0010307819p;Legrand SA;LR;PLR
FR0013326246p;Unibail Rodamco Wes;URW;AURW
GB00BDSFG982p;TechnipFMC;FTI;PFTI
LU1598757687p;Arcelor Mittal;MT;AMT
NL0000226223p;Stmicroelectronics;STM;PSTM
NL0000235190p;Airbus;AIR;PAIR
